turn,spy_win_avg_metro_count_spy,spy_win_avg_bus_count_spy,spy_win_avg_taxi_count_spy,adversary_win_avg_metro_count_spy,adversary_win_avg_bus_count_spy,adversary_win_avg_taxi_count_spy,spy_loss_avg_metro_count_spy,spy_loss_avg_bus_count_spy,spy_loss_avg_taxi_count_spy,adversary_loss_avg_metro_count_spy,adversary_loss_avg_bus_count_spy,adversary_loss_avg_taxi_count_spy
0,0.07303370786516854,0.19315141787051898,0.7338148742643125,0.05488674870697342,0.16818262885678617,0.7769306224362404,0.023402340234023402,0.10621062106210621,0.8703870387038704,0.05565556555655565,0.16914191419141913,0.7752025202520252
1,0.0,0.0018726591760299626,0.99812734082397,0.03914749420367398,0.5110130194399858,0.4498394863563403,0.0,0.0009000900090009,0.9990999099909991,0.03967896789678968,0.5131263126312632,0.4471947194719472
2,0.0,0.1404494382022472,0.8595505617977528,0.1331371499910826,0.4162653825575174,0.45059746745140006,0.0,0.0738073807380738,0.9261926192619262,0.1323882388238824,0.38148814881488147,0.48612361236123613
3,0.0005350454788657035,0.002407704654895666,0.9970572498662387,0.12391314041111161,0.3962634324697909,0.47982342711909753,0.0009178522257916476,0.005507113354749885,0.9935750344194585,0.12329814899801132,0.37318341746978734,0.5035184335322013
4,0.0,0.020599250936329586,0.9794007490636704,0.11740836529028806,0.37831088914652633,0.5042807455631856,0.0004608294930875576,0.03917050691244239,0.96036866359447,0.10353302611367128,0.3758064516129032,0.5206605222734255
5,0.0,0.013150831991411701,0.9868491680085884,0.12809991079393399,0.4061106155218555,0.46578947368421053,0.0,0.014308426073131956,0.985691573926868,0.1259421560035057,0.4179666958808063,0.456091148115688
6,0.001611170784103115,0.020676691729323307,0.9777121374865736,0.12243254128070882,0.39786101042645544,0.4797064482928357,0.0017251293847038527,0.020126509488211614,0.9781483611270846,0.10767314876903918,0.4067439409905163,0.4855829102404445
7,0.0021488047273704003,0.021488047273704004,0.9763631479989257,0.12452424663054673,0.40442394662606906,0.4710518067433842,0.0012626262626262627,0.026515151515151516,0.9722222222222222,0.12273874631888936,0.4253260412284392,0.45193521245267143
8,0.0,0.0118184260005372,0.9881815739994628,0.11951263214477692,0.47921519440960403,0.40127217344561905,0.0,0.012898845892735914,0.9871011541072641,0.10830692621095518,0.4607288365776369,0.43096423721140786
9,0.0018802041364491002,0.020682245500940104,0.9774375503626108,0.1493145775468148,0.555595376758355,0.2950900456948302,0.0014064697609001407,0.02180028129395218,0.9767932489451476,0.13456833275078645,0.5258068274496097,0.3396248397996039
10,0.0005379236148466917,0.023399677245831092,0.9760623991393222,0.1620810181036028,0.4757124932783653,0.3622064886180319,0.00199203187250996,0.0199203187250996,0.9780876494023905,0.14155478203215646,0.5007458975634013,0.35769932040444224
11,0.0008086253369272237,0.02345013477088949,0.9757412398921833,0.15546218487394958,0.484593837535014,0.3599439775910364,0.002369668246445498,0.04028436018957346,0.957345971563981,0.14195647752694732,0.4940004067520846,0.3640431157209681
12,0.0,0.01699029126213592,0.9830097087378641,0.16243505538672678,0.48578570728359965,0.3517792373296736,0.0,0.024861878453038673,0.9751381215469613,0.14380694410243783,0.5013543462201429,0.3548387096774194
13,0.0002698327037236913,0.018888289260658393,0.980841878035618,0.14762149506024785,0.5819770430015418,0.27040146193821024,0.0015128593040847202,0.030257186081694403,0.9682299546142209,0.12887537993920972,0.5641337386018237,0.3069908814589666
14,0.0,0.018633540372670808,0.9813664596273292,0.191222366710013,0.5747724317295189,0.23400520156046814,0.0,0.01991150442477876,0.9800884955752213,0.14222222222222222,0.5550617283950617,0.30271604938271607
15,0.0002710761724044456,0.02873407427487124,0.9709948495527243,0.20342312008978675,0.4836560044893378,0.31292087542087543,0.0,0.06614785992217899,0.933852140077821,0.17032967032967034,0.49175824175824173,0.33791208791208793
16,0.00027166530834012495,0.014941591958706873,0.984786742732953,0.20379766297662977,0.4702490774907749,0.32595325953259535,0.0,0.0335195530726257,0.9664804469273743,0.15072463768115943,0.48840579710144927,0.36086956521739133
17,0.0002725538293813028,0.024802398473698556,0.9749250476969201,0.22700657598414556,0.4777947932618683,0.2951986307539861,0.0,0.06060606060606061,0.9393939393939394,0.19831223628691982,0.4641350210970464,0.33755274261603374
18,0.000275027502750275,0.015126512651265127,0.9845984598459846,0.221809399962846,0.3581645922348133,0.42002600780234073,0.0,0.09473684210526316,0.9052631578947369,0.1320754716981132,0.2783018867924528,0.589622641509434
19,0.00033400133600534405,0.023714094856379427,0.9759519038076152,0.303157093952073,0.28718143780905286,0.4096614682388741,0.0,0.0,1.0,0.0,0.30434782608695654,0.6956521739130435
20,0.0,0.016080402010050253,0.9839195979899498,0.31038721573448064,0.322679778733866,0.36693300553165337,0.0,0.0,1.0,0.0,0.125,0.875
21,0.0,0.021897810218978103,0.9781021897810219,0.35714285714285715,0.26731601731601734,0.37554112554112556,0,0,0,0,0,0
22,0.0,0.009557945041816009,0.9904420549581839,0.47902869757174393,0.20750551876379691,0.31346578366445915,0,0,0,0,0,0
23,0.0,0.016317016317016316,0.9836829836829837,0,0,0,0,0,0,0,0,0
